
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
    3    6     (  4.121887728690e+00 , -2.976728587663e-10 ) ( -4.881436055398e-12 , -2.658313312974e+02 ) ( -1.050575126466e-09 ,  2.686646239030e-09 )
    3    7     (  6.107504650245e-01 ,  1.381284893220e-01 ) (  1.952000190619e-04 , -8.630966050166e-04 ) (  3.037342304372e-02 , -2.479241997133e-11 )
    3    8     ( -4.457999687298e+01 , -1.198933903046e-10 ) (  6.870853677143e-11 ,  6.299942970226e-02 ) (  4.161162446880e-04 , -9.411026833947e-05 )
    3    9     ( -1.950276685925e-09 ,  1.863926417685e+02 ) ( -3.583990969182e-01 , -1.582062943333e-10 ) ( -2.536245359672e-02 ,  7.364418551915e-02 )
    3   10     (  3.012283037761e+01 ,  8.746673378950e+01 ) ( -1.681825963675e-01 ,  5.792071558446e-02 ) (  1.786757942727e-09 , -1.569365996739e-01 )
    3   11     (  1.135809519230e-04 ,  6.821733542073e-02 ) (  1.156092698344e-04 , -1.925040009339e-07 ) (  4.199750852668e-12 , -1.020370825807e+00 )
    3   12     ( -1.301613598967e-10 , -8.763102443907e+01 ) ( -1.485097003696e-01 ,  6.369196591813e-11 ) (  1.322521929940e-06 , -7.943253665144e-04 )
    4    1     (  7.743072380424e-13 ,  3.433138950250e+02 ) (  2.565473174264e+00 , -4.022027751026e-10 ) (  2.173046394881e-10 ,  5.310310967548e-09 )
    4    2     ( -2.177677798068e-08 ,  3.848795183154e-07 ) (  2.599492794917e-09 ,  1.045784684377e-10 ) ( -1.572627057726e-12 , -4.509923733668e+00 )
    4    3     (  2.593322954165e+01 , -3.996279293219e-11 ) ( -3.655521247851e-11 , -7.671886995722e+00 ) (  5.577322200284e-11 ,  7.750148514523e-11 )
    4    4     (  3.084690482146e-09 , -2.688276771605e-28 ) ( -7.774416892966e-11 , -6.022838219142e-19 ) ( -3.382393405164e-01 , -3.207084141142e-29 )
    4    5     ( -4.121887728719e+00 , -3.038704380137e-10 ) (  4.961832109239e-12 , -2.658313312974e+02 ) (  1.058294913233e-09 ,  2.686651455319e-09 )
    4    6     (  3.819260113919e-10 , -7.515503700278e-12 ) (  2.732311576033e-09 , -6.856516782266e-09 ) (  1.167598536425e+01 , -1.751208119805e-11 )
    4    7     ( -4.457999687268e+01 ,  9.262483839135e-11 ) (  5.463864266761e-11 , -6.299942967293e-02 ) (  4.161162452169e-04 ,  9.411026833101e-05 )
    4    8     ( -6.107504646426e-01 ,  1.381284893438e-01 ) ( -1.952000158568e-04 , -8.630965995849e-04 ) ( -3.037342304539e-02 , -2.432547410672e-11 )
    4    9     (  3.012283037762e+01 , -8.746673378950e+01 ) ( -1.681825963607e-01 , -5.792071557454e-02 ) (  1.784859751986e-09 ,  1.569365996743e-01 )
    4   10     (  1.994108664824e-09 ,  1.863926417684e+02 ) (  3.583990969460e-01 , -1.870209310282e-10 ) (  2.536245359584e-02 ,  7.364418551848e-02 )
    4   11     (  7.232552569084e-12 , -8.763102443910e+01 ) (  1.485097003690e-01 ,  6.404608849414e-11 ) ( -1.322521925142e-06 , -7.943253666826e-04 )
    4   12     (  1.135809451232e-04 , -6.821733541547e-02 ) (  1.156092723152e-04 ,  1.925040618588e-07 ) (  3.402920825530e-12 ,  1.020370825804e+00 )
    5    1     (  2.964449246154e-10 ,  4.761908005474e-09 ) ( -1.038773008601e-08 ,  3.033648846758e-09 ) ( -3.130706980941e-14 ,  3.042841582947e+02 )
    5    2     (  6.064685642746e-12 , -4.648937053080e+00 ) (  1.012353585783e+01 , -9.293299282809e-12 ) ( -1.637722983458e-08 ,  3.332572830711e-07 )
    5    3     (  3.592587594234e-10 , -7.584499558491e-12 ) (  2.732341288427e-09 , -6.856638463674e-09 ) (  1.167598536424e+01 , -1.382180999143e-11 )
    5    4     ( -4.121887728719e+00 ,  3.038704380137e-10 ) (  4.961832109239e-12 ,  2.658313312974e+02 ) (  1.058294922540e-09 , -2.686651455319e-09 )
    5    5     (  3.726518385152e-12 , -2.233817185594e-29 ) ( -1.275683388365e-10 ,  1.012471580522e-19 ) ( -6.432391622261e+00 , -7.918498203488e-31 )
    5    6     ( -1.100562620181e-01 ,  8.418112678795e-12 ) (  4.585674180621e-12 ,  7.460873994909e+00 ) (  4.289212859527e-10 , -1.453047107097e-10 )
    5    7     (  1.095310789560e-02 ,  2.477175859265e-03 ) (  4.523590585926e-02 , -2.000155799294e-01 ) (  2.558148055583e+00 ,  5.942581733285e-12 )
    5    8     ( -7.994910404689e-01 ,  1.341135815811e-11 ) (  5.462096659593e-12 ,  1.459956971905e+01 ) (  3.504688699320e-02 , -7.926271541760e-03 )
    5    9     (  1.185666483072e-10 , -2.923904559808e+00 ) ( -3.536521083894e+00 , -1.200395230112e-11 ) ( -1.910350735029e+00 ,  5.547026527801e+00 )
    5   10     ( -4.725308909842e-01 , -1.372073377998e+00 ) ( -1.659550212647e+00 ,  5.715355700519e-01 ) ( -6.391189411141e-11 , -1.182077898213e+01 )
    5   11     ( -1.431919030509e-06 , -8.600222107334e-04 ) (  4.885401358637e-04 , -8.146584128953e-07 ) ( -3.084523015060e-14 , -7.115390064524e+01 )
    5   12     (  3.184970375598e-12 ,  1.104765320086e+00 ) ( -6.275718901999e-01 , -1.764338093964e-12 ) (  9.222381186075e-05 , -5.539053494619e-02 )
    6    1     (  2.234134655436e-11 ,  4.648937053080e+00 ) (  1.012353585783e+01 ,  6.551980262721e-12 ) ( -1.637727339663e-08 , -3.332574174337e-07 )
    6    2     ( -2.943668846325e-10 ,  4.761056542869e-09 ) (  1.039232101943e-08 ,  3.033234767308e-09 ) (  4.874808184468e-13 ,  3.042841582947e+02 )
    6    3     (  4.121887728690e+00 ,  2.976728587663e-10 ) ( -4.881436055398e-12 ,  2.658313312974e+02 ) ( -1.050575135774e-09 , -2.686646239030e-09 )
    6    4     (  3.819259552916e-10 ,  7.515503700278e-12 ) (  2.732311576033e-09 ,  6.856516782384e-09 ) (  1.167598536425e+01 ,  1.751208119805e-11 )
    6    5     ( -1.100562620181e-01 , -8.418112678795e-12 ) (  4.585674180621e-12 , -7.460873994909e+00 ) (  4.289212859527e-10 ,  1.453047107097e-10 )
    6    6     ( -3.092889013376e-12 ,  6.355779150768e-29 ) (  1.271743726549e-10 ,  1.012471798300e-19 ) (  6.432391622252e+00 ,  4.507059652916e-28 )
    6    7     (  7.994910404630e-01 ,  1.465595487349e-11 ) ( -3.849535656071e-12 ,  1.459956971906e+01 ) ( -3.504688701319e-02 , -7.926271531362e-03 )
    6    8     (  1.095310790475e-02 , -2.477175858539e-03 ) (  4.523590585905e-02 ,  2.000155799366e-01 ) (  2.558148055619e+00 ,  3.350833517255e-12 )
    6    9     (  4.725308909807e-01 , -1.372073377997e+00 ) (  1.659550212669e+00 ,  5.715355700506e-01 ) (  9.881368715106e-11 , -1.182077898212e+01 )
    6   10     (  1.266165145191e-10 ,  2.923904559799e+00 ) ( -3.536521083873e+00 ,  1.470138162344e-11 ) ( -1.910350735009e+00 , -5.547026527793e+00 )
    6   11     ( -4.369389505881e-11 , -1.104765320133e+00 ) ( -6.275718901977e-01 ,  1.302979732191e-12 ) (  9.222381141999e-05 ,  5.539053494600e-02 )
    6   12     (  1.431911509237e-06 , -8.600222102088e-04 ) ( -4.885401462825e-04 , -8.146584193251e-07 ) (  8.245362586083e-12 , -7.115390064524e+01 )
    7    1     ( -4.962772451637e-01 , -2.194345073685e+00 ) ( -2.115779473780e-03 ,  4.785092791469e-04 ) ( -2.359744058216e-11 , -1.428693880938e-01 )
    7    2     ( -3.906121307006e-10 ,  1.601699794923e+02 ) ( -1.544354995556e-01 , -1.540816755429e-10 ) ( -4.426723560486e-04 , -1.957317959793e-03 )
    7    3     (  6.107504650245e-01 , -1.381284893220e-01 ) (  1.952000190619e-04 ,  8.630966050169e-04 ) (  3.037342304372e-02 ,  2.479242346213e-11 )
    7    4     ( -4.457999687268e+01 , -9.262483839108e-11 ) (  5.463864187615e-11 ,  6.299942967293e-02 ) (  4.161162452181e-04 , -9.411026833101e-05 )
    7    5     (  1.095310789560e-02 , -2.477175859265e-03 ) (  4.523590585926e-02 ,  2.000155799294e-01 ) (  2.558148055583e+00 , -5.942582016894e-12 )
    7    6     (  7.994910404630e-01 , -1.465595489896e-11 ) ( -3.849535626423e-12 , -1.459956971906e+01 ) ( -3.504688701319e-02 ,  7.926271531362e-03 )
    7    7     (  8.684654827661e-01 ,  9.368969762603e-18 ) ( -1.004322211280e-04 ,  3.269566261031e-18 ) ( -2.837645552612e-03 ,  5.227118660047e-24 )
    7    8     ( -3.168994202484e+01 , -2.690889067414e-03 ) ( -1.375878348561e-06 , -1.620978183276e-02 ) ( -7.776952807910e-05 ,  1.758802566985e-05 )
    7    9     ( -4.328939296069e-02 ,  5.734759911645e+01 ) ( -1.480317042559e-02 ,  1.133017930328e-05 ) (  1.567138751081e-03 , -4.334495344808e-03 )
    7   10     (  9.027672687249e+00 ,  2.594551075073e+01 ) ( -7.199238730333e-03 ,  2.455214166270e-03 ) (  3.490071967273e-05 ,  9.571055570777e-03 )
    7   11     (  1.714767779899e+00 ,  8.009508680525e+00 ) ( -9.439577133064e-05 ,  2.262560204316e-05 ) ( -9.920693881347e-08 ,  4.083852262758e-02 )
    7   12     (  1.324498375874e-03 , -5.531919007339e+02 ) ( -7.305389862436e-03 ,  1.806089144191e-08 ) (  1.264841701712e-04 ,  5.912817786300e-04 )
    8    1     (  3.889406968539e-10 ,  1.601699794923e+02 ) (  1.544354995547e-01 , -1.539928711880e-10 ) (  4.426723596017e-04 , -1.957317966339e-03 )
    8    2     ( -4.962772451586e-01 ,  2.194345073740e+00 ) ( -2.115779473854e-03 , -4.785092792767e-04 ) ( -7.347381616548e-12 ,  1.428693880606e-01 )
    8    3     ( -4.457999687298e+01 ,  1.198933903043e-10 ) (  6.870853597997e-11 , -6.299942970226e-02 ) (  4.161162446891e-04 ,  9.411026833947e-05 )
    8    4     ( -6.107504646426e-01 , -1.381284893438e-01 ) ( -1.952000158568e-04 ,  8.630965995852e-04 ) ( -3.037342304539e-02 ,  2.432547759752e-11 )
    8    5     ( -7.994910404689e-01 , -1.341135818357e-11 ) (  5.462096629945e-12 , -1.459956971905e+01 ) (  3.504688699320e-02 ,  7.926271541760e-03 )
    8    6     (  1.095310790475e-02 ,  2.477175858539e-03 ) (  4.523590585905e-02 , -2.000155799366e-01 ) (  2.558148055619e+00 , -3.350833233645e-12 )
    8    7     ( -3.168994202484e+01 ,  2.690889067414e-03 ) ( -1.375878348561e-06 ,  1.620978183276e-02 ) ( -7.776952807910e-05 , -1.758802566985e-05 )
    8    8     ( -8.684654825029e-01 ,  2.272076599746e-18 ) (  1.004322214904e-04 ,  3.266665146631e-18 ) (  2.837645552100e-03 ,  7.642518119683e-24 )
    8    9     (  9.027672687101e+00 , -2.594551075066e+01 ) ( -7.199238729998e-03 , -2.455214165809e-03 ) (  3.490071888114e-05 , -9.571055569344e-03 )
    8   10     (  4.328939327535e-02 ,  5.734759911645e+01 ) (  1.480317042756e-02 ,  1.133017793035e-05 ) ( -1.567138751418e-03 , -4.334495343963e-03 )
    8   11     ( -1.324498417040e-03 , -5.531919007339e+02 ) (  7.305389862472e-03 ,  1.806094411455e-08 ) ( -1.264841710303e-04 ,  5.912817800657e-04 )
    8   12     (  1.714767779876e+00 , -8.009508680762e+00 ) ( -9.439577119948e-05 , -2.262560203243e-05 ) ( -9.921073265310e-08 , -4.083852261992e-02 )
    9    1     (  2.855639197939e+01 , -5.851322922390e-09 ) ( -1.414111245711e-09 , -2.444548188198e-02 ) ( -1.085156679979e-01 ,  3.737191228091e-02 )
    9    2     ( -1.340039126617e+01 ,  4.614985568316e+00 ) ( -3.950622590054e-03 , -1.147129248158e-02 ) ( -2.312481726236e-01 ,  1.823174418212e-10 )
    9    3     ( -1.950276685902e-09 , -1.863926417685e+02 ) ( -3.583990969182e-01 ,  1.582063336848e-10 ) ( -2.536245359672e-02 , -7.364418551914e-02 )
    9    4     (  3.012283037762e+01 ,  8.746673378950e+01 ) ( -1.681825963607e-01 ,  5.792071557454e-02 ) (  1.784859277952e-09 , -1.569365996743e-01 )
    9    5     (  1.185666506506e-10 ,  2.923904559808e+00 ) ( -3.536521083894e+00 ,  1.200394411808e-11 ) ( -1.910350735029e+00 , -5.547026527801e+00 )
    9    6     (  4.725308909807e-01 ,  1.372073377997e+00 ) (  1.659550212669e+00 , -5.715355700506e-01 ) (  9.881368320908e-11 ,  1.182077898212e+01 )
    9    7     ( -4.328939296069e-02 , -5.734759911645e+01 ) ( -1.480317042559e-02 , -1.133017930328e-05 ) (  1.567138751081e-03 ,  4.334495344808e-03 )
    9    8     (  9.027672687101e+00 ,  2.594551075066e+01 ) ( -7.199238729998e-03 ,  2.455214165809e-03 ) (  3.490071888111e-05 ,  9.571055569344e-03 )
    9    9     ( -2.554528928534e+01 ,  4.742965339108e-17 ) ( -2.645589479029e-03 , -2.937438318355e-18 ) (  2.058802283317e-02 ,  7.325224726261e-20 )
    9   10     (  2.193584402902e+01 ,  4.128362626424e+00 ) ( -1.241471115355e-03 , -9.773761976694e-03 ) (  2.563738349691e-02 , -8.829305223722e-03 )
    9   11     ( -1.219846092606e+02 ,  1.541505095489e-02 ) (  3.263295581646e-07 , -2.583455323451e-03 ) (  4.143062758745e-02 , -1.429196574706e-02 )
    9   12     (  5.712676130524e+01 , -1.970684073819e+01 ) ( -4.176600011487e-04 , -1.214764750625e-03 ) (  8.846819188443e-02 , -1.107230171893e-05 )
   10    1     (  1.340039126600e+01 ,  4.614985568335e+00 ) (  3.950622589777e-03 , -1.147129248105e-02 ) (  2.312481726556e-01 ,  2.151781231112e-10 )
   10    2     (  2.855639197905e+01 ,  5.850246965665e-09 ) ( -1.413194875704e-09 ,  2.444548188061e-02 ) ( -1.085156680064e-01 , -3.737191229224e-02 )
   10    3     (  3.012283037761e+01 , -8.746673378950e+01 ) ( -1.681825963675e-01 , -5.792071558446e-02 ) (  1.786757468693e-09 ,  1.569365996739e-01 )
   10    4     (  1.994108664801e-09 , -1.863926417684e+02 ) (  3.583990969460e-01 ,  1.870209703797e-10 ) (  2.536245359584e-02 , -7.364418551848e-02 )
   10    5     ( -4.725308909842e-01 ,  1.372073377998e+00 ) ( -1.659550212647e+00 , -5.715355700519e-01 ) ( -6.391189016943e-11 ,  1.182077898213e+01 )
   10    6     (  1.266165168626e-10 , -2.923904559799e+00 ) ( -3.536521083873e+00 , -1.470137344041e-11 ) ( -1.910350735009e+00 ,  5.547026527793e+00 )
   10    7     (  9.027672687249e+00 , -2.594551075073e+01 ) ( -7.199238730333e-03 , -2.455214166270e-03 ) (  3.490071967271e-05 , -9.571055570777e-03 )
   10    8     (  4.328939327535e-02 , -5.734759911645e+01 ) (  1.480317042756e-02 , -1.133017793035e-05 ) ( -1.567138751418e-03 ,  4.334495343963e-03 )
   10    9     (  2.193584402902e+01 , -4.128362626424e+00 ) ( -1.241471115355e-03 ,  9.773761976694e-03 ) (  2.563738349691e-02 ,  8.829305223722e-03 )
   10   10     (  2.554528928510e+01 ,  4.141995185533e-16 ) (  2.645589479046e-03 , -2.847731753364e-18 ) ( -2.058802283529e-02 , -1.905253761492e-20 )
   10   11     ( -5.712676130469e+01 , -1.970684073825e+01 ) (  4.176600011745e-04 , -1.214764750581e-03 ) ( -8.846819189191e-02 , -1.107230942025e-05 )
   10   12     ( -1.219846092594e+02 , -1.541505091721e-02 ) (  3.263294906256e-07 ,  2.583455323497e-03 ) (  4.143062758924e-02 ,  1.429196574970e-02 )
   11    1     ( -2.256824017752e-03 , -3.758123513286e-06 ) ( -1.476103415769e-09 ,  8.868104649996e-07 ) ( -5.658905922305e-01 ,  7.709314439951e-11 )
   11    2     (  2.899080646718e+00 , -1.501069499150e-13 ) ( -2.123431442492e-12 ,  1.129964587352e-03 ) ( -4.405240796420e-04 , -7.334977862618e-07 )
   11    3     (  1.135809519230e-04 , -6.821733542073e-02 ) (  1.156092698346e-04 ,  1.925040009339e-07 ) (  4.199750849842e-12 ,  1.020370825807e+00 )
   11    4     (  7.232552569084e-12 ,  8.763102443910e+01 ) (  1.485097003690e-01 , -6.404608849437e-11 ) ( -1.322521925142e-06 ,  7.943253666804e-04 )
   11    5     ( -1.431919030509e-06 ,  8.600222107334e-04 ) (  4.885401358637e-04 ,  8.146584128953e-07 ) ( -3.084523011209e-14 ,  7.115390064524e+01 )
   11    6     ( -4.369389505882e-11 ,  1.104765320133e+00 ) ( -6.275718901977e-01 , -1.302979732253e-12 ) (  9.222381141999e-05 , -5.539053494600e-02 )
   11    7     (  1.714767779899e+00 , -8.009508680525e+00 ) ( -9.439577133060e-05 , -2.262560204316e-05 ) ( -9.920693883003e-08 , -4.083852262758e-02 )
   11    8     ( -1.324498417040e-03 ,  5.531919007339e+02 ) (  7.305389862472e-03 , -1.806094411466e-08 ) ( -1.264841710303e-04 , -5.912817800710e-04 )
   11    9     ( -1.219846092606e+02 , -1.541505095489e-02 ) (  3.263295581377e-07 ,  2.583455323451e-03 ) (  4.143062758745e-02 ,  1.429196574706e-02 )
   11   10     ( -5.712676130469e+01 ,  1.970684073825e+01 ) (  4.176600011745e-04 ,  1.214764750581e-03 ) ( -8.846819189191e-02 ,  1.107230942006e-05 )
   11   11     (  4.640103858822e-03 , -1.151134393362e-21 ) ( -1.712810669095e-09 , -3.306133054841e-22 ) ( -7.462294221511e-02 , -4.090396270905e-27 )
   11   12     ( -2.980304913606e+00 ,  6.000176548834e-09 ) (  1.606512280668e-12 ,  6.602365934945e-04 ) ( -1.161822298593e-04 , -1.934410308879e-07 )
   12    1     (  2.899080646716e+00 ,  3.656369713171e-12 ) ( -2.087384776439e-12 , -1.129964587369e-03 ) ( -4.405240760011e-04 ,  7.334977349100e-07 )
   12    2     (  2.256824039836e-03 , -3.758138936286e-06 ) (  1.476101238444e-09 ,  8.868104768928e-07 ) (  5.658905922287e-01 ,  8.037689075623e-11 )
   12    3     ( -1.301613598967e-10 ,  8.763102443907e+01 ) ( -1.485097003696e-01 , -6.369196591835e-11 ) (  1.322521929940e-06 ,  7.943253665122e-04 )
   12    4     (  1.135809451232e-04 ,  6.821733541547e-02 ) (  1.156092723153e-04 , -1.925040618588e-07 ) (  3.402920822704e-12 , -1.020370825804e+00 )
   12    5     (  3.184970375593e-12 , -1.104765320086e+00 ) ( -6.275718901999e-01 ,  1.764338094027e-12 ) (  9.222381186075e-05 ,  5.539053494619e-02 )
   12    6     (  1.431911509237e-06 ,  8.600222102088e-04 ) ( -4.885401462825e-04 ,  8.146584193251e-07 ) (  8.245362586044e-12 ,  7.115390064524e+01 )
   12    7     (  1.324498375874e-03 ,  5.531919007339e+02 ) ( -7.305389862436e-03 , -1.806089144201e-08 ) (  1.264841701712e-04 , -5.912817786354e-04 )
   12    8     (  1.714767779876e+00 ,  8.009508680762e+00 ) ( -9.439577119945e-05 ,  2.262560203243e-05 ) ( -9.921073266967e-08 ,  4.083852261992e-02 )
   12    9     (  5.712676130524e+01 ,  1.970684073819e+01 ) ( -4.176600011487e-04 ,  1.214764750624e-03 ) (  8.846819188443e-02 ,  1.107230171874e-05 )
   12   10     ( -1.219846092594e+02 ,  1.541505091721e-02 ) (  3.263294905987e-07 , -2.583455323497e-03 ) (  4.143062758924e-02 , -1.429196574970e-02 )
   12   11     ( -2.980304913606e+00 , -6.000176548834e-09 ) (  1.606512280668e-12 , -6.602365934945e-04 ) ( -1.161822298593e-04 ,  1.934410308879e-07 )
   12   12     ( -4.640103923421e-03 , -4.728233879900e-22 ) (  1.712810963130e-09 , -3.594584870032e-22 ) (  7.462294221540e-02 ,  1.681918437484e-27 )
# nucleus 2 (H atom; P (g_e*g_N*beta_e*beta_N) = 533.5514)
# FC contribution '4/3 * pi * P * OPERATOR'
    1    1     ( -1.235570026414e-01 ,  2.067951531383e-25 ) (  3.644892740055e-09 ,  1.149560361170e-17 ) (  2.825578664594e+01 , -3.231174267785e-27 )
    1    2     ( -2.816966930881e+01 , -4.298045799625e-11 ) (  2.895694789596e-11 , -2.831736972215e+01 ) (  1.235571223885e-01 ,  3.638010000811e-09 )
    1    3     (  9.050589915564e-10 , -1.565843000904e+00 ) (  1.740672162828e+00 ,  7.807632702794e-10 ) (  6.661920459221e-11 ,  1.124966835580e+00 )
    1    4     (  6.562072747215e-11 ,  2.961532258968e+00 ) (  1.037828816249e+00 , -1.233607961040e-10 ) ( -7.849936756151e-10 ,  1.565842998825e+00 )
    1    5     (  1.737685469649e-10 ,  6.082195555608e+00 ) (  6.035938783893e+00 , -1.383866299796e-10 ) ( -1.844762503496e-09 ,  3.268544263216e+00 )
    1    6     (  1.731664005386e-09 , -2.715529772848e+00 ) (  2.771353210753e+00 ,  1.848297341110e-09 ) (  1.499853269741e-10 ,  6.082195555003e+00 )
    1    7     (  4.263209686292e-02 , -6.089401597423e-01 ) (  5.800164556712e-01 ,  3.761207248904e-02 ) (  1.302701021577e-03 , -1.214814490597e+01 )
    1    8     ( -1.302701124062e-03 ,  1.375344887998e+01 ) ( -1.213336409047e+01 , -1.281857622074e-03 ) ( -3.762246126833e-02 ,  2.540856799874e-01 )
    1    9     (  4.787126750191e+01 , -1.409685717308e-02 ) (  1.636044073519e-02 ,  4.822791994527e+01 ) (  2.256980577593e+01 ,  7.802897798411e+00 )
    1   10     (  2.257053845676e+01 , -7.743068954209e+00 ) (  7.801769597085e+00 ,  2.275499220005e+01 ) ( -4.832333894222e+01 ,  1.409687393937e-02 )
    1   11     (  7.881531010509e-02 , -1.287218219961e-04 ) (  1.287177960921e-04 ,  8.515980287789e-02 ) (  9.930155297133e+01 , -1.953291622786e-09 )
    1   12     ( -9.931746371779e+01 ,  1.985756355379e-09 ) ( -1.021159804199e-08 , -9.930471294909e+01 ) (  7.580204806168e-02 ,  1.287136892737e-04 )
    2    1     ( -2.816966930881e+01 ,  4.298045799625e-11 ) (  2.895694789596e-11 ,  2.831736972215e+01 ) (  1.235571223885e-01 , -3.638010000811e-09 )
    2    2     (  1.235570026404e-01 , -4.135903062765e-25 ) ( -3.645372659899e-09 ,  2.086127014298e-18 ) ( -2.825578664595e+01 ,  0.000000000000e+00 )
    2    3     ( -6.710751921655e-11 ,  2.961532258971e+00 ) ( -1.037828816248e+00 , -1.226547625911e-10 ) (  7.908007113969e-10 ,  1.565842998819e+00 )
    2    4     (  9.108685978306e-10 ,  1.565843000899e+00 ) (  1.740672162823e+00 , -7.866509695051e-10 ) (  6.552850930806e-11 , -1.124966835583e+00 )
    2    5     (  1.736600258024e-09 ,  2.715529772851e+00 ) (  2.771353210756e+00 , -1.853047148368e-09 ) (  1.514888026490e-10 , -6.082195555001e+00 )
    2    6     ( -1.752493353769e-10 ,  6.082195555607e+00 ) ( -6.035938783899e+00 , -1.399509392764e-10 ) (  1.862472178938e-09 ,  3.268544263219e+00 )
    2    7     (  1.302701128524e-03 ,  1.375344887992e+01 ) (  1.213336409039e+01 , -1.281857625740e-03 ) (  3.762246125669e-02 ,  2.540856798916e-01 )
    2    8     (  4.263209686815e-02 ,  6.089401596458e-01 ) (  5.800164555751e-01 , -3.761207249493e-02 ) (  1.302701024829e-03 ,  1.214814490604e+01 )
    2    9     ( -2.257053845676e+01 , -7.743068954188e+00 ) ( -7.801769597063e+00 ,  2.275499220006e+01 ) (  4.832333894223e+01 ,  1.409687388703e-02 )
    2   10     (  4.787126750190e+01 ,  1.409685712066e-02 ) (  1.636044068303e-02 , -4.822791994526e+01 ) (  2.256980577593e+01 , -7.802897798435e+00 )
    2   11     ( -9.931746371779e+01 , -1.951174479066e-09 ) ( -1.017698104713e-08 ,  9.930471294910e+01 ) (  7.580204806223e-02 , -1.287136907542e-04 )
    2   12     ( -7.881531010344e-02 , -1.287218205050e-04 ) ( -1.287177946034e-04 ,  8.515980287751e-02 ) ( -9.930155297133e+01 , -1.918678832305e-09 )
    3    1     (  9.050589915564e-10 ,  1.565843000904e+00 ) (  1.740672162828e+00 , -7.807632702794e-10 ) (  6.661920459221e-11 , -1.124966835580e+00 )
    3    2     ( -6.710751921655e-11 , -2.961532258971e+00 ) ( -1.037828816248e+00 ,  1.226547625911e-10 ) (  7.908007113969e-10 , -1.565842998819e+00 )
    3    3     (  4.678609782307e+00 ,  1.938704560671e-26 ) ( -7.593840625659e-11 , -6.236140100367e-16 ) (  5.497003014307e+01 ,  3.231174267785e-27 )
    3    4     (  5.491256763860e+01 , -4.787889262658e-11 ) ( -4.357200178149e-11 , -5.509332756311e+01 ) ( -4.678609782290e+00 , -7.189589027831e-11 )
    3    5     (  1.621141968638e+02 ,  7.499594471503e-12 ) ( -7.539831010295e-11 , -1.621796486685e+02 ) ( -5.047319842932e+00 ,  1.521528278873e-09 )
    3    6     (  5.029845483847e+00 ,  1.668106109222e-09 ) (  1.524411825054e-09 ,  3.498935643429e+00 ) (  1.621141968638e+02 , -9.096030768097e-11 )
    3    7     (  5.049420200089e-02 , -1.016914120089e-01 ) ( -1.049852522079e-01 ,  1.144361892572e+00 ) (  3.389484627583e+01 ,  1.549635918646e-03 )
    3    8     (  3.282703829091e+01 , -1.549635931036e-03 ) (  2.107429264737e-03 , -3.387393190934e+01 ) ( -3.586512465060e-02 , -1.049999519671e-01 )
    3    9     (  5.183569838532e-02 ,  9.269408116722e+00 ) (  5.445071283381e+00 , -8.739627323788e-03 ) (  8.824802983756e-01 , -2.883177344913e+00 )
    3   10     (  1.522349299524e+00 ,  4.741145234343e+00 ) (  2.621144814193e+00 , -8.840766660616e-01 ) ( -5.183569843344e-02 ,  5.310056621199e+00 )
    3   11     (  4.951370056064e-06 ,  9.462156731611e-02 ) (  7.512157485713e-02 ,  5.475224780281e-06 ) (  1.187858463850e-07 ,  4.218990160838e+00 )
    3   12     ( -1.187877096841e-07 , -3.820950756863e+00 ) (  4.223461424806e+00 ,  1.016283834629e-07 ) ( -5.469415913713e-06 , -8.836278688318e-02 )
    4    1     (  6.562072747215e-11 , -2.961532258968e+00 ) (  1.037828816249e+00 ,  1.233607961040e-10 ) ( -7.849936756151e-10 , -1.565842998825e+00 )
    4    2     (  9.108685978306e-10 , -1.565843000899e+00 ) (  1.740672162823e+00 ,  7.866509695051e-10 ) (  6.552850930806e-11 ,  1.124966835583e+00 )
    4    3     (  5.491256763860e+01 ,  4.787889262658e-11 ) ( -4.357200178149e-11 ,  5.509332756311e+01 ) ( -4.678609782290e+00 ,  7.189589027831e-11 )
    4    4     ( -4.678609782291e+00 ,  6.462348535571e-27 ) (  7.265927254826e-11 , -6.849601778316e-16 ) ( -5.497003014308e+01 ,  6.462348535571e-27 )
    4    5     ( -5.029845483833e+00 ,  1.661573361812e-09 ) ( -1.524356675383e-09 ,  3.498935643416e+00 ) ( -1.621141968638e+02 , -9.180679740293e-11 )
    4    6     (  1.621141968638e+02 , -6.652295853982e-12 ) ( -7.643853399144e-11 ,  1.621796486685e+02 ) ( -5.047319842919e+00 , -1.527530562814e-09 )
    4    7     (  3.282703829092e+01 ,  1.549635935180e-03 ) (  2.107429261835e-03 ,  3.387393190935e+01 ) ( -3.586512464098e-02 ,  1.049999519758e-01 )
